"API NUMBER","WELL NAME","WELL NUMBER",OPERATOR,STATE,COUNTY,"NUMBER OF DAYS ONLINE","CO2, MSCF","SULFUR, LONG TONS","PRODUCTION DATE","OIL, BARRELS","GAS, MSCF","WATER, BARRELS","PRODUCING UNIT NAME"
"=""35037197190000""",Dawson-baldridge,1-a,"J & S Production  Inc",OK,Creek,,,,2009-02-01,0,258,,Dawson-baldridge
"=""35037284390000""",Sellers,1,"United Energy & Exploration Llc",OK,Creek,,,,2009-11-01,0,692,,Sellers
"=""35037270590000""","Columbus Swampter",1,"Sparks Resources Inc",OK,Creek,,,,2009-12-01,0,587,,"Columbus Swampter"
"=""35037275160000""",Hall,2,"Xanadu Exploration Company",OK,Creek,,,,2009-12-01,0,134,,Hall
"=""35037275160000""",Hall,2,"Xanadu Exploration Company",OK,Creek,,,,2009-07-01,0,179,,Hall
"=""35037276410000""",Dock,1-19,"B & P Oil & Gas",OK,Creek,,,,2009-07-01,0,133,,Dock
"=""35037276410000""",Dock,1-19,"B & P Oil & Gas",OK,Creek,,,,2009-04-01,0,364,,Dock
"=""35037276460000""",Parks,1,"Cartledge & Cartledge Oil Company Inc",OK,Creek,,,,2009-09-01,0,167,,Parks
"=""35037276460000""",Parks,1,"Cartledge & Cartledge Oil Company Inc",OK,Creek,,,,2009-06-01,0,184,,Parks
"=""35037276460000""",Parks,1,"Cartledge & Cartledge Oil Company Inc",OK,Creek,,,,2009-02-01,0,167,,Parks
"=""35037276620000""",Edmiston,2,"Egret Operating Company",OK,Creek,,,,2009-12-01,0,136,,Edmiston
"=""35037276620000""",Edmiston,2,"Egret Operating Company",OK,Creek,,,,2009-11-01,0,132,,Edmiston
"=""35037276620000""",Edmiston,2,"Egret Operating Company",OK,Creek,,,,2009-07-01,0,28,,Edmiston
"=""35037276620000""",Edmiston,2,"Egret Operating Company",OK,Creek,,,,2009-03-01,0,138,,Edmiston
"=""35037276620000""",Edmiston,2,"Egret Operating Company",OK,Creek,,,,2009-02-01,0,127,,Edmiston
"=""35037276620000""",Edmiston,2,"Egret Operating Company",OK,Creek,,,,2009-01-01,0,133,,Edmiston
"=""35037277910000""",Krebs,1,"Circle K Oil & Gas Inc",OK,Creek,,,,2009-11-01,0,57,,Krebs
"=""35037277910000""",Krebs,1,"Circle K Oil & Gas Inc",OK,Creek,,,,2009-06-01,0,191,,Krebs
"=""35037277910000""",Krebs,1,"Circle K Oil & Gas Inc",OK,Creek,,,,2009-01-01,0,157,,Krebs
"=""35037277400000""","Iron Mountain",2,"Javelin Energy Llc",OK,Creek,,,,2009-10-01,0,571,,"Iron Mountain"
"=""35037277400000""","Iron Mountain",2,"Javelin Energy Llc",OK,Creek,,,,2009-08-01,0,717,,"Iron Mountain"
"=""35037277400000""","Iron Mountain",2,"Javelin Energy Llc",OK,Creek,,,,2009-05-01,0,724,,"Iron Mountain"
"=""35037276230000""","John John",2,"Palm Operating Llc",OK,Creek,,,,2009-06-01,0,1,,"John John"
"=""35037283390000""",Sinclair,6,"United Energy & Exploration Llc",OK,Creek,,,,2009-06-01,0,2494,,Sinclair
"=""35037283470000""","Lost Indian",2,"Eig Petroleum Llc",OK,Creek,,,,2009-01-01,0,829,,"Lost Indian"
"=""35037283930000""",Creek,1,"Petrojen Production Company Inc",OK,Creek,,,,2009-09-01,0,74,,Creek
"=""35037283930000""",Creek,1,"Petrojen Production Company Inc",OK,Creek,,,,2009-02-01,0,5,,Creek
"=""35037281630000""",Roka,1,"Firey Oil Company",OK,Creek,,,,2009-10-01,0,149,,Roka
"=""35037281630000""",Roka,1,"Firey Oil Company",OK,Creek,,,,2009-06-01,0,51,,Roka
"=""35037281970000""",Roka,3,"Firey Oil Company",OK,Creek,,,,2009-07-01,0,51,,Roka
"=""35037281970000""",Roka,3,"Firey Oil Company",OK,Creek,,,,2009-01-01,0,188,,Roka
"=""35037281990000""",Eagle,12-1,"Centrex Operating Company",OK,Creek,,,,2009-05-01,0,0,,Eagle
"=""35037281990000""",Eagle,12-1,"Centrex Operating Company",OK,Creek,,,,2009-02-01,0,0,,Eagle
"=""35037274300000""",Tiger,1,"Egret Operating Company",OK,Creek,,,,2009-11-01,0,519,,Tiger
"=""35037274300000""",Tiger,1,"Egret Operating Company",OK,Creek,,,,2009-08-01,0,1008,,Tiger
"=""35037274300000""",Tiger,1,"Egret Operating Company",OK,Creek,,,,2009-05-01,0,464,,Tiger
"=""35037274200000""",Williams,6,"Allen Michael",OK,Creek,,,,2009-08-01,0,304,,Williams
"=""35037274200000""",Williams,6,"Allen Michael",OK,Creek,,,,2009-03-01,0,372,,Williams
"=""35037274200000""",Williams,6,"Allen Michael",OK,Creek,,,,2009-02-01,0,381,,Williams
"=""35037280650000""",Avatar,1,"Hoyt Oil & Gas Llc",OK,Creek,,,,2009-02-01,0,159,,Avatar
"=""35037281190000""",Eagle,1-1,"Centrex Operating Company",OK,Creek,,,,2009-09-01,0,114,,Eagle
"=""35037281190000""",Eagle,1-1,"Centrex Operating Company",OK,Creek,,,,2009-06-01,0,116,,Eagle
"=""35037285110000""",Cobb,3-7,"Dixon Clint A",OK,Creek,,,,2009-02-01,0,501,,Cobb
"=""35037284810000""","Deer Creek",1,"Flying M Petroleum Llc",OK,Creek,,,,2009-07-01,0,312,,"Deer Creek"
"=""35037284810000""","Deer Creek",1,"Flying M Petroleum Llc",OK,Creek,,,,2009-05-01,0,333,,"Deer Creek"
"=""35037284810000""","Deer Creek",1,"Flying M Petroleum Llc",OK,Creek,,,,2009-03-01,0,315,,"Deer Creek"
"=""35037284690000""",Gressett,7,"Withrow Oil Company Inc",OK,Creek,,,,2009-12-01,0,107,,Gressett
"=""35037284690000""",Gressett,7,"Withrow Oil Company Inc",OK,Creek,,,,2009-06-01,0,132,,Gressett
"=""35037284690000""",Gressett,7,"Withrow Oil Company Inc",OK,Creek,,,,2009-05-01,0,175,,Gressett
"=""35037284690000""",Gressett,7,"Withrow Oil Company Inc",OK,Creek,,,,2009-01-01,0,156,,Gressett
"=""35037285650000""","Jared Ashley",1,"Energy Resources Dev Inc",OK,Creek,,,,2009-08-01,0,206,,"Jared Ashley"
"=""35037285650000""","Jared Ashley",1,"Energy Resources Dev Inc",OK,Creek,,,,2009-03-01,0,175,,"Jared Ashley"
"=""35037285670000""",Clyde,1-9,"Nordstrand Engineering Inc",OK,Creek,,,,2009-12-01,0,449,,Clyde
"=""35037285670000""",Clyde,1-9,"Nordstrand Engineering Inc",OK,Creek,,,,2009-08-01,0,579,,Clyde
"=""35037285670000""",Clyde,1-9,"Nordstrand Engineering Inc",OK,Creek,,,,2009-07-01,0,304,,Clyde
"=""35037286170000""",Batchelor,2-7,"Rover Operating Llc",OK,Creek,,,,2009-05-01,0,101,,Batchelor
"=""35037286170000""",Batchelor,2-7,"Rover Operating Llc",OK,Creek,,,,2009-01-01,0,89,,Batchelor
"=""35037286380000""",Parker,2,"Circle K Oil & Gas Inc",OK,Creek,,,,2009-07-01,0,323,,Parker
"=""35037286040000""","Stroud Prue Sand Unit Tr 14(webb 1-8)",8,"Rover Operating Llc",OK,Creek,,,,2009-10-01,0,0,,"Stroud Prue Sand Unit Tr 14(webb 1-8)"
