"API NUMBER","WELL NAME","WELL NUMBER",OPERATOR,STATE,COUNTY,"INJECTION DATE","INJECTED FLUID","INJECTED VOLUME","INJECTED VOLUME UNITS","TOP OF INJECTION INTERVAL, FEET","BOTTOM OF INJECTION INTERVAL, FEET","INJECTION UNIT NAME"
"=""35037238100000""",Hawk,1,"Earnhardt William R Company",OK,Creek,2014-01-01,Water,1800,BBL,2552,3050,Hawk
"=""35037241100000""","Stroud Prue Sd Ut",13-9,"Rover Operating Llc",OK,Creek,2014-11-01,Water,22691,BBL,2850,2923,"Stroud Prue Sd Ut"
"=""35037241100000""","Stroud Prue Sd Ut",13-9,"Rover Operating Llc",OK,Creek,2014-09-01,Water,12128,BBL,2850,2923,"Stroud Prue Sd Ut"
"=""35037241100000""","Stroud Prue Sd Ut",13-9,"Rover Operating Llc",OK,Creek,2014-08-01,Water,12221,BBL,2850,2923,"Stroud Prue Sd Ut"
"=""35037241600000""","Uncle George",1,"Lunar Investments Inc",OK,Creek,2014-04-01,Water,0,BBL,2120,2134,"Uncle George"
"=""35037237480000""",Rowell,1,"Edge Oil Company Inc",OK,Creek,2014-12-01,Water,0,BBL,2690,2696,Rowell
"=""35037237480000""",Rowell,1,"Edge Oil Company Inc",OK,Creek,2014-09-01,Water,0,BBL,2690,2696,Rowell
"=""35037237480000""",Rowell,1,"Edge Oil Company Inc",OK,Creek,2014-02-01,Water,0,BBL,2690,2696,Rowell
"=""35037242840000""",Captain,2,"Circle 9 Resources Llc",OK,Creek,2014-05-01,Water,3083,BBL,2506,2520,Captain
"=""35037243700000""","Browns Creek",4,"Dunlap Drilling & Prod Inc",OK,Creek,2014-11-01,Water,3954,BBL,2031,2651,"Browns Creek"
"=""35037243700000""","Browns Creek",4,"Dunlap Drilling & Prod Inc",OK,Creek,2014-10-01,Water,3954,BBL,2031,2651,"Browns Creek"
"=""35037243700000""","Browns Creek",4,"Dunlap Drilling & Prod Inc",OK,Creek,2014-09-01,Water,3954,BBL,2031,2651,"Browns Creek"
