"API NUMBER","WELL NAME","WELL NUMBER",OPERATOR,STATE,COUNTY,"INJECTION DATE","INJECTED FLUID","INJECTED VOLUME","INJECTED VOLUME UNITS","TOP OF INJECTION INTERVAL, FEET","BOTTOM OF INJECTION INTERVAL, FEET","INJECTION UNIT NAME"
"=""35037206530000""",Sgu,1-w4,"Uplands Resources Inc",OK,Creek,2014-08-01,Water,21119,BBL,0,0,Sgu
"=""35037206550000""",Sgu,2w7,"Uplands Resources Inc",OK,Creek,2014-09-01,Water,430,BBL,1501,1544,Sgu
"=""35037206550000""",Sgu,2w7,"Uplands Resources Inc",OK,Creek,2014-08-01,Water,420,BBL,1501,1544,Sgu
"=""35037206550000""",Sgu,2w7,"Uplands Resources Inc",OK,Creek,2014-07-01,Water,410,BBL,1501,1544,Sgu
"=""35037206550000""",Sgu,2w7,"Uplands Resources Inc",OK,Creek,2014-03-01,Water,380,BBL,1501,1544,Sgu
"=""35037206560000""",Sgu,2w-8,"Uplands Resources Inc",OK,Creek,2014-04-01,Water,38070,BBL,1504,1543,Sgu
"=""35037206560000""",Sgu,2w-8,"Uplands Resources Inc",OK,Creek,2014-03-01,Water,37400,BBL,1504,1543,Sgu
"=""35037206560000""",Sgu,2w-8,"Uplands Resources Inc",OK,Creek,2014-02-01,Water,41930,BBL,1504,1543,Sgu
"=""35037206560000""",Sgu,2w-8,"Uplands Resources Inc",OK,Creek,2014-01-01,Water,42583,BBL,1504,1543,Sgu
"=""35037133310000""",Gibson,2,"Cartledge & Cartledge Oil Company Inc",OK,Creek,2014-10-01,Water,6200,BBL,1853,1859,Gibson
"=""35037131350000""","Ecrsu (frank Davidson)",1,"Eig Petroleum Llc",OK,Creek,2014-10-01,Water,300,BBL,2609,2628,"Ecrsu (frank Davidson)"
"=""35037129750000""","Weaver J T",9,"Osage Energy Resources Llc",OK,Creek,2014-12-01,Water,480,BBL,2245,2290,"Weaver J T"
"=""35037129750000""","Weaver J T",9,"Osage Energy Resources Llc",OK,Creek,2014-09-01,Water,0,BBL,2245,2290,"Weaver J T"
"=""35037129750000""","Weaver J T",9,"Osage Energy Resources Llc",OK,Creek,2014-02-01,Water,0,BBL,2245,2290,"Weaver J T"
"=""35037121460000""","Elsa Self A",8,"Cartledge & Cartledge Oil Company Inc",OK,Creek,2014-11-01,Water,2250,BBL,2460,2502,"Elsa Self A"
"=""35037121460000""","Elsa Self A",8,"Cartledge & Cartledge Oil Company Inc",OK,Creek,2014-09-01,Water,2250,BBL,2460,2502,"Elsa Self A"
"=""35037121460000""","Elsa Self A",8,"Cartledge & Cartledge Oil Company Inc",OK,Creek,2014-01-01,Water,2325,BBL,2460,2502,"Elsa Self A"
"=""35037124760000""",Replogle,Wi-3,"Hightower Energy Llc",OK,Creek,2014-09-01,Water,7000,BBL,2538,2551,Replogle
"=""35037124760000""",Replogle,Wi-3,"Hightower Energy Llc",OK,Creek,2014-01-01,Water,7000,BBL,2538,2551,Replogle
"=""35037128700000""","Sejrsu (124) (rowsey #2)",24,"Hightower Energy Llc",OK,Creek,2014-06-01,Water,600,BBL,2724,2729,"Sejrsu (124) (rowsey #2)"
"=""35037128700000""","Sejrsu (124) (rowsey #2)",24,"Hightower Energy Llc",OK,Creek,2014-05-01,Water,600,BBL,2724,2729,"Sejrsu (124) (rowsey #2)"
"=""35037128700000""","Sejrsu (124) (rowsey #2)",24,"Hightower Energy Llc",OK,Creek,2014-04-01,Water,600,BBL,2724,2729,"Sejrsu (124) (rowsey #2)"
"=""35037128700000""","Sejrsu (124) (rowsey #2)",24,"Hightower Energy Llc",OK,Creek,2014-02-01,Water,600,BBL,2724,2729,"Sejrsu (124) (rowsey #2)"
"=""35037128700000""","Sejrsu (124) (rowsey #2)",24,"Hightower Energy Llc",OK,Creek,2014-01-01,Water,600,BBL,2724,2729,"Sejrsu (124) (rowsey #2)"
"=""35037055900000""","B. Derrisaw",6,"Brichacek Jerry Lee",OK,Creek,2014-05-01,Water,9000,BBL,2335,2366,"B. Derrisaw"
"=""35037055900000""","B. Derrisaw",6,"Brichacek Jerry Lee",OK,Creek,2014-03-01,Water,9000,BBL,2335,2366,"B. Derrisaw"
"=""35037053340000""",Abraham,1,"Krumme Oil Company Llp",OK,Creek,2014-12-01,Water,2901,BBL,2772,2865,Abraham
"=""35037053340000""",Abraham,1,"Krumme Oil Company Llp",OK,Creek,2014-06-01,Water,2810,BBL,2772,2865,Abraham
"=""35037053340000""",Abraham,1,"Krumme Oil Company Llp",OK,Creek,2014-05-01,Water,2936,BBL,2772,2865,Abraham
"=""35037094810000""","B.b. Jones",23,"Mid-con Energy Operating Llc",OK,Creek,2014-11-01,Water,730,BBL,2541,2589,"B.b. Jones"
"=""35037094810000""","B.b. Jones",23,"Mid-con Energy Operating Llc",OK,Creek,2014-03-01,Water,540,BBL,2541,2589,"B.b. Jones"
"=""35037094840000""","Jennetta Richard",W-30,"Mid-con Energy Operating Llc",OK,Creek,2014-07-01,Water,0,BBL,2444,2542,"Jennetta Richard"
"=""35037094840000""","Jennetta Richard",W-30,"Mid-con Energy Operating Llc",OK,Creek,2014-02-01,Water,0,BBL,2444,2542,"Jennetta Richard"
"=""35037094850000""","Richard Waterflood",21,"Petco Petroleum Corp",OK,Creek,2014-12-01,Water,112080,BBL,2516,2611,"Richard Waterflood"
"=""35037094870000""","Jennetta Richard",19,"Petco Petroleum Corp",OK,Creek,2014-09-01,Water,124420,BBL,2480,2566,"Jennetta Richard"
"=""35037094870000""","Jennetta Richard",19,"Petco Petroleum Corp",OK,Creek,2014-02-01,Water,119382,BBL,2480,2566,"Jennetta Richard"
"=""35037094550000""","L. Brown",120-w1,"Linn Operating Llc",OK,Creek,2014-10-01,Water,42199,BBL,2632,2740,"L. Brown"
"=""35037094550000""","L. Brown",120-w1,"Linn Operating Llc",OK,Creek,2014-03-01,Water,43562,BBL,2632,2740,"L. Brown"
"=""35037086480000""","L. Brown - 40 Acres",W-2,"Linn Operating Llc",OK,Creek,2014-10-01,Water,68902,BBL,2612,2722,"L. Brown - 40 Acres"
"=""35037086480000""","L. Brown - 40 Acres",W-2,"Linn Operating Llc",OK,Creek,2014-04-01,Water,56453,BBL,2612,2722,"L. Brown - 40 Acres"
"=""35037086480000""","L. Brown - 40 Acres",W-2,"Linn Operating Llc",OK,Creek,2014-02-01,Water,52462,BBL,2612,2722,"L. Brown - 40 Acres"
"=""35037086570000""","Linda Yarhola",25,"Mid-con Energy Operating Llc",OK,Creek,2014-12-01,Water,1006,BBL,2632,2682,"Linda Yarhola"
"=""35037086570000""","Linda Yarhola",25,"Mid-con Energy Operating Llc",OK,Creek,2014-05-01,Water,760,BBL,2632,2682,"Linda Yarhola"
"=""35037086580000""","Linda Yarhola",24,"Mid-con Energy Operating Llc",OK,Creek,2014-09-01,Water,0,BBL,2648,2688,"Linda Yarhola"
"=""35037086580000""","Linda Yarhola",24,"Mid-con Energy Operating Llc",OK,Creek,2014-06-01,Water,0,BBL,2648,2688,"Linda Yarhola"
"=""35037086580000""","Linda Yarhola",24,"Mid-con Energy Operating Llc",OK,Creek,2014-02-01,Water,0,BBL,2648,2688,"Linda Yarhola"
"=""35037086830000""","M. Wiley",16,"Berexco Llc",OK,Creek,2014-01-01,Water,108655,BBL,2374,2384,"M. Wiley"
"=""35037087740000""","E. Richards",18w,"Koby Oil Company Llc",OK,Creek,2014-12-01,Water,43916,BBL,2540,2635,"E. Richards"
"=""35037087740000""","E. Richards",18w,"Koby Oil Company Llc",OK,Creek,2014-06-01,Water,42756,BBL,2540,2635,"E. Richards"
"=""35037087740000""","E. Richards",18w,"Koby Oil Company Llc",OK,Creek,2014-01-01,Water,43915,BBL,2540,2635,"E. Richards"
"=""35037066890000""","Eugene Fraley",2,"S & C Resources Inc",OK,Creek,2014-12-01,Water,1860,BBL,1478,1509,"Eugene Fraley"
"=""35037066890000""","Eugene Fraley",2,"S & C Resources Inc",OK,Creek,2014-10-01,Water,1860,BBL,1478,1509,"Eugene Fraley"
"=""35037070360000""","Bristow (ada Wiliams W1)",2-d,"Vanorsdol Paul & Lisa",OK,Creek,2014-12-01,Water,0,BBL,2972,0,"Bristow (ada Wiliams W1)"
"=""35037070360000""","Bristow (ada Wiliams W1)",2-d,"Vanorsdol Paul & Lisa",OK,Creek,2014-09-01,Water,0,BBL,2972,0,"Bristow (ada Wiliams W1)"
"=""35037069670000""","A E Coop",3,"Grayhorse Operating Inc",OK,Creek,2014-06-01,Water,41896,BBL,2952,2982,"A E Coop"
"=""35037069670000""","A E Coop",3,"Grayhorse Operating Inc",OK,Creek,2014-03-01,Water,41708,BBL,2952,2982,"A E Coop"
"=""35037069670000""","A E Coop",3,"Grayhorse Operating Inc",OK,Creek,2014-01-01,Water,44981,BBL,2952,2982,"A E Coop"
"=""35037068280000""","Irene Roberts",2,"Krumme Oil Company Llp",OK,Creek,2014-12-01,Water,6168,BBL,2642,2742,"Irene Roberts"
"=""35037068280000""","Irene Roberts",2,"Krumme Oil Company Llp",OK,Creek,2014-10-01,Water,6081,BBL,2642,2742,"Irene Roberts"
"=""35037256860000""",Tuttle,4,"Jewell Consulting Inc",OK,Creek,2014-08-01,Water,0,BBL,2116,2228,Tuttle
"=""35037256860000""",Tuttle,4,"Jewell Consulting Inc",OK,Creek,2014-05-01,Water,0,BBL,2116,2228,Tuttle
"=""35037255620000""",Smith-doolin,3,"D & M Production Co Inc",OK,Creek,2014-09-01,Water,900,BBL,2584,2590,Smith-doolin
"=""35037255620000""",Smith-doolin,3,"D & M Production Co Inc",OK,Creek,2014-01-01,Water,900,BBL,2584,2590,Smith-doolin
"=""35037255640000""",Yocham,1,"Holloway David A",OK,Creek,2014-09-01,Water,0,BBL,1890,1928,Yocham
"=""35037255640000""",Yocham,1,"Holloway David A",OK,Creek,2014-08-01,Water,0,BBL,1890,1928,Yocham
"=""35037255640000""",Yocham,1,"Holloway David A",OK,Creek,2014-07-01,Water,0,BBL,1890,1928,Yocham
"=""35037255640000""",Yocham,1,"Holloway David A",OK,Creek,2014-03-01,Water,0,BBL,1890,1928,Yocham
"=""35037254150000""",Boone,3,"Baber Oil Company Llc",OK,Creek,2014-09-01,Water,800,BBL,2623,2635,Boone
"=""35037254150000""",Boone,3,"Baber Oil Company Llc",OK,Creek,2014-08-01,Water,800,BBL,2623,2635,Boone
"=""35037255260000""","Pcrfsu (gray 2)",2711,"Holloway David A",OK,Creek,2014-10-01,Water,0,BBL,1964,1970,"Pcrfsu (gray 2)"
"=""35037255260000""","Pcrfsu (gray 2)",2711,"Holloway David A",OK,Creek,2014-07-01,Water,0,BBL,1964,1970,"Pcrfsu (gray 2)"
"=""35037255830000""",Sinker,1,"Nbi Services Inc",OK,Creek,2014-10-01,Water,0,BBL,3154,3166,Sinker
"=""35037255830000""",Sinker,1,"Nbi Services Inc",OK,Creek,2014-08-01,Water,0,BBL,3154,3166,Sinker
"=""35037255830000""",Sinker,1,"Nbi Services Inc",OK,Creek,2014-07-01,Water,0,BBL,3154,3166,Sinker
"=""35037255830000""",Sinker,1,"Nbi Services Inc",OK,Creek,2014-02-01,Water,0,BBL,3154,3166,Sinker
"=""35037255830000""",Sinker,1,"Nbi Services Inc",OK,Creek,2014-01-01,Water,0,BBL,3154,3166,Sinker
"=""35037253610000""",Bourell-shelton,1,"Denham Danny D",OK,Creek,2014-10-01,Water,0,BBL,1890,2516,Bourell-shelton
"=""35037253610000""",Bourell-shelton,1,"Denham Danny D",OK,Creek,2014-07-01,Water,212,BBL,1890,2516,Bourell-shelton
"=""35037253610000""",Bourell-shelton,1,"Denham Danny D",OK,Creek,2014-05-01,Water,0,BBL,1890,2516,Bourell-shelton
"=""35037265020000""",Guiterrez,2,"Sparks Resources Inc",OK,Creek,2014-12-01,Water,0,BBL,2148,2154,Guiterrez
"=""35037265020000""",Guiterrez,2,"Sparks Resources Inc",OK,Creek,2014-11-01,Water,0,BBL,2914,2915,Guiterrez
"=""35037265020000""",Guiterrez,2,"Sparks Resources Inc",OK,Creek,2014-06-01,Water,0,BBL,2148,2154,Guiterrez
"=""35037264220000""",Kyser,4,"Cardinal Oil Llc",OK,Creek,2014-05-01,Water,5400,BBL,2523,2532,Kyser
"=""35037264220000""",Kyser,4,"Cardinal Oil Llc",OK,Creek,2014-03-01,Water,6000,BBL,2523,2532,Kyser
"=""35037264220000""",Kyser,4,"Cardinal Oil Llc",OK,Creek,2014-02-01,Water,6000,BBL,2523,2532,Kyser
"=""35037265680000""",Annaco,3,"Melson Oil & Gas Inc",OK,Creek,2014-12-01,Water,0,BBL,2066,2110,Annaco
"=""35037265680000""",Annaco,3,"Melson Oil & Gas Inc",OK,Creek,2014-11-01,Water,0,BBL,2066,2110,Annaco
"=""35037265680000""",Annaco,3,"Melson Oil & Gas Inc",OK,Creek,2014-10-01,Water,0,BBL,2066,2110,Annaco
"=""35037265680000""",Annaco,3,"Melson Oil & Gas Inc",OK,Creek,2014-07-01,Water,0,BBL,2066,2110,Annaco
"=""35037265680000""",Annaco,3,"Melson Oil & Gas Inc",OK,Creek,2014-05-01,Water,0,BBL,2066,2110,Annaco
"=""35037265680000""",Annaco,3,"Melson Oil & Gas Inc",OK,Creek,2014-04-01,Water,0,BBL,2066,2110,Annaco
